strategy,baseline_tag,ticker,side,entry_date,exit_date,horizon,entry_price,exit_price,raw_return_pct,adjusted_return_pct,stop_hit,target_hit,sector,source_backtest,friction_model,notes
SHORT_SLEEVE_A,live_paper_db,ABT,SHORT,2026-04-22,2026-04-27,3,92.7200,92.8000,-0.086300,-0.386300,0,0,,db/trading.db (paper_signals + paper_signal_outcomes),execution_policy_adjusted (live paper),hold_complete; stop_price=96.3600; target_price=85.4400
SHORT_SLEEVE_A,live_paper_db,ABT,SHORT,2026-04-22,2026-04-29,5,92.7200,91.3300,1.499100,1.199100,0,0,,db/trading.db (paper_signals + paper_signal_outcomes),execution_policy_adjusted (live paper),hold_complete; stop_price=96.3600; target_price=85.4400
SHORT_SLEEVE_A,live_paper_db,ABT,SHORT,2026-04-22,,10,92.7200,,,,0,0,,db/trading.db (paper_signals + paper_signal_outcomes),execution_policy_adjusted (live paper),still_open; stop_price=96.3600; target_price=85.4400
SHORT_SLEEVE_A,live_paper_db,PEGA,SHORT,2026-04-23,2026-04-28,3,37.4800,35.9600,4.055500,3.755500,0,0,,db/trading.db (paper_signals + paper_signal_outcomes),execution_policy_adjusted (live paper),hold_complete; stop_price=40.7800; target_price=30.8900
SHORT_SLEEVE_A,live_paper_db,PEGA,SHORT,2026-04-23,2026-04-30,5,37.4800,36.5500,2.481300,2.181300,0,0,,db/trading.db (paper_signals + paper_signal_outcomes),execution_policy_adjusted (live paper),hold_complete; stop_price=40.7800; target_price=30.8900
SHORT_SLEEVE_A,live_paper_db,PEGA,SHORT,2026-04-23,,10,37.4800,,,,0,0,,db/trading.db (paper_signals + paper_signal_outcomes),execution_policy_adjusted (live paper),still_open; stop_price=40.7800; target_price=30.8900
SHORT_SLEEVE_A,short_history_v1,VST,SHORT,2024-07-25,2024-07-31,6,69.6200,76.5820,-10.000000,-10.716438,1,0,SPY,research/sleeves/short_backtester.py,"borrow+slippage+spread+halt_gap (CLI args, see notes)",pathway=REVENUE only; score=67.8; borrow_pct=0.0164; gap_risk_pct=3.2095; intraday_range_pct=10.2089; stop_price=76.5820; target_price=52.2150
SHORT_SLEEVE_A,short_history_v1,HON,SHORT,2024-07-25,2024-09-06,43,183.8300,180.8900,1.599304,1.281495,0,0,SPY,research/sleeves/short_backtester.py,"borrow+slippage+spread+halt_gap (CLI args, see notes)",pathway=REVENUE only; score=61.0; borrow_pct=0.1178; gap_risk_pct=0.4076; intraday_range_pct=2.3466; stop_price=202.2130; target_price=137.8725
SHORT_SLEEVE_A,short_history_v1,MSTR,SHORT,2025-02-24,2025-03-05,9,282.5300,310.7830,-10.000000,-10.724658,1,0,SPY,research/sleeves/short_backtester.py,"borrow+slippage+spread+halt_gap (CLI args, see notes)",pathway=REVENUE only; score=62.3; borrow_pct=0.0247; gap_risk_pct=2.9305; intraday_range_pct=11.5106; stop_price=310.7830; target_price=211.8975
SHORT_SLEEVE_A,short_history_v1,VST,SHORT,2025-03-03,2025-03-24,21,123.1100,135.4210,-10.000000,-10.757534,1,0,SPY,research/sleeves/short_backtester.py,"borrow+slippage+spread+halt_gap (CLI args, see notes)",pathway=REVENUE only; score=67.8; borrow_pct=0.0575; gap_risk_pct=3.6867; intraday_range_pct=17.8193; stop_price=135.4210; target_price=92.3325
SHORT_SLEEVE_A,short_history_v1,GS,SHORT,2025-03-10,2025-03-25,15,520.8700,572.9570,-10.000000,-10.741096,1,0,SPY,research/sleeves/short_backtester.py,"borrow+slippage+spread+halt_gap (CLI args, see notes)",pathway=REVENUE only; score=61.0; borrow_pct=0.0411; gap_risk_pct=1.2642; intraday_range_pct=6.0148; stop_price=572.9570; target_price=390.6525
SHORT_SLEEVE_A,short_history_v1,JPM,SHORT,2025-03-10,2025-04-24,45,226.4000,239.9800,-5.998233,-6.321521,0,0,SPY,research/sleeves/short_backtester.py,"borrow+slippage+spread+halt_gap (CLI args, see notes)",pathway=REVENUE only; score=61.0; borrow_pct=0.1233; gap_risk_pct=0.6454; intraday_range_pct=4.8749; stop_price=249.0400; target_price=169.8000
SHORT_SLEEVE_A,short_history_v1,HON,SHORT,2025-04-07,2025-04-29,22,172.9100,190.2010,-10.000000,-10.760274,1,0,SPY,research/sleeves/short_backtester.py,"borrow+slippage+spread+halt_gap (CLI args, see notes)",pathway=REVENUE only; score=61.0; borrow_pct=0.0603; gap_risk_pct=0.8602; intraday_range_pct=7.2884; stop_price=190.2010; target_price=129.6825
SHORT_SLEEVE_A,short_history_v1,ZTS,SHORT,2025-04-07,2025-05-12,35,146.3300,160.9630,-10.000000,-10.795890,1,0,SPY,research/sleeves/short_backtester.py,"borrow+slippage+spread+halt_gap (CLI args, see notes)",pathway=REVENUE only; score=61.0; borrow_pct=0.0959; gap_risk_pct=0.5876; intraday_range_pct=4.6675; stop_price=160.9630; target_price=109.7475
SHORT_SLEEVE_A,short_history_v1,EL,SHORT,2026-03-23,2026-05-01,39,79.2900,79.3000,-0.012612,-0.319461,0,0,SPY,research/sleeves/short_backtester.py,"borrow+slippage+spread+halt_gap (CLI args, see notes)",pathway=REVENUE only; score=61.0; borrow_pct=0.1068; gap_risk_pct=1.2844; intraday_range_pct=6.9568; stop_price=87.2190; target_price=59.4675
